C2   | 100uF | 25V | N/A | https://www.mouser.com/ProductDetail/80-A750KK107M1EAAE401
C6   | 100uF | 25V | N/A | https://www.mouser.com/ProductDetail/80-A750KK107M1EAAE401
C18  | 100uF | 25V | N/A | https://www.mouser.com/ProductDetail/80-A750KK107M1EAAE401
C19  | 100uF | 25V | N/A | https://www.mouser.com/ProductDetail/80-A750KK107M1EAAE401

C3   | 220uF | 25V | N/A | 

C8   | 470uF | 25V | N/A | https://www.mouser.com/ProductDetail/80-A750MS477M1EAAE15
C16  | 470uF | 25V | N/A | https://www.mouser.com/ProductDetail/80-A750MS477M1EAAE15
C20  | 470uF | 25V | N/A | https://www.mouser.com/ProductDetail/80-A750MS477M1EAAE15

C4   | 1uF   | 50V | 5MM | https://www.mouser.com/ProductDetail/KEMET/T491A105K050AT?qs=5nxu1x%2Fh9oihMQfHTtiinA%3D%3D
C5   | 1uF   | 50V | 5MM | https://www.mouser.com/ProductDetail/KEMET/T491A105K050AT?qs=5nxu1x%2Fh9oihMQfHTtiinA%3D%3D
C15  | 1uF   | 50V | 5MM | https://www.mouser.com/ProductDetail/KEMET/T491A105K050AT?qs=5nxu1x%2Fh9oihMQfHTtiinA%3D%3D
C24  | 1uF   | 50V | 5MM | https://www.mouser.com/ProductDetail/KEMET/T491A105K050AT?qs=5nxu1x%2Fh9oihMQfHTtiinA%3D%3D

C9   | 47uF  | 16V | 6MM | https://www.mouser.com/ProductDetail/581-TAJC476K016UNJ
C10  | 47uF  | 16V | 6MM | https://www.mouser.com/ProductDetail/581-TAJC476K016UNJ
C11  | 47uF  | 16V | 6MM | https://www.mouser.com/ProductDetail/581-TAJC476K016UNJ
C17  | 47uF  | 16V | 6MM | https://www.mouser.com/ProductDetail/581-TAJC476K016UNJ
C22  | 47uF  | 16V | 6MM | https://www.mouser.com/ProductDetail/581-TAJC476K016UNJ
C25  | 47uF  | 16V | 6MM | https://www.mouser.com/ProductDetail/581-TAJC476K016UNJ
C26  | 47uF  | 16V | 6MM | https://www.mouser.com/ProductDetail/581-TAJC476K016UNJ
C27  | 47uF  | 16V | 6MM | https://www.mouser.com/ProductDetail/581-TAJC476K016UNJ
C28  | 47uF  | 16V | 6MM | https://www.mouser.com/ProductDetail/581-TAJC476K016UNJ

C14  | 10uF  | 16V | 4MM | https://www.mouser.com/ProductDetail/581-TAJA106K016RNJV
C116 | 10uF  | 16V | 4MM | https://www.mouser.com/ProductDetail/581-TAJA106K016RNJV
